ENSEMBL,drug_claim_name
ENSG00000004700,"#MYRICETIN#DACTINOMYCIN#METHYLERGONOVINE#LIPOIC ACID, ALPHA#ASTERRIC ACID#GNF-PF-5159#CADMIUM DICHLORIDE#ARACHIDONOYL GLYCINE#FENOLDOPAM BROMIDE#BETA-LAPACHONE#ROSE BENGAL#QUINACRINE DIHYDROCHLORIDE#BAICALEIN#TOLONIUM CHLORIDE#DNDI1417523#NSC-66209#CEFOTAXIME SODIUM#AURINTRICARBOXYLIC ACID#ACID BLUE 129#5,8,11,14-EICOSATETRAYNOIC ACID#IRIGINOL HEXAACEATATE#MITOXANTRONE DIHYDROCHLORIDE#LEVONORDEFRIN#DAUNORUBICIN HYDROCHLORIDE#DIBROMOACETIC ACID#CARMINE#HOMIDIUM BROMIDE#PURPURIN#NSC-180246#QUERCETIN#TCMDC-125221#FENOLDOPAM#D-DOPA#ERYTHROSINE#HEMATOXYLIN#GW7074#GOSSYPOL#DOPAMINE#LUTEOLIN#CONGO RED#NSC-69187#FUMARPROTOCETRARIC ACID#IDARUBICIN#EPIGALOCATECHIN GALLATE#AG-1288#TCMDC-123598#METHACYCLINE HYDROCHLORIDE#LINOLENIC ACID#AG-555#ROBINETIN#ROSMARINIC ACID#HOE-33342#5,6,7,8,4'-PENTAHYDROXYFLAVONE#OXYTETRACYCLINE#PYROGALLOL#AG-538#3-O-METHYLQUERCETIN#DEPHOSTATIN#PINAFIDE#COUMESTROL#HOMIDIUM#MEN-10376#REV-5901#1,2-NAPHTHOQUINONE#NOREPINEPHRINE#CATECHIN#RO-0282750#SHIKONIN#2,3,4'-TRIHYDROXY-4-METHOXYBENZOPHENONE#(E)-DIBENZYLIDENEACETONE#HYPERICIN#DNDI1318925#ACYCLOVIR#METHYLDOPA (RACEMIC)#GF-109203#GNF-PF-1919#NORDIHYDROGUAIARETIC ACID#GENTIAN VIOLET#LEVODOPA#PHYSODIC ACID#3,8'-BIAPIGENIN#AMPICILLIN TRIHYDRATE#PAC-1#MESALAMINE#METHYSERGIDE#GW3965#FLUORESCEIN#ESTRADIOL#WORTMANNIN#QUINALIZARIN#PEPSTATIN#NSC-19803#ISOBOLDINE#CISPLATIN#L-NOREPINEPHRINE#WEDELOLACTONE#EUPAFOLIN#SURAMIN#SLAZINIC ACID#HELIOMYCIN#TCMDC-123912#CARMINOMYCIN#METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE#TCMDC-123730#SULFURETIN#3,3',5,5'-TETRABROMOBISPHENOL A#RHEIN#NORDEFRIN#DAUNORUBICIN#NBQX#TCMDC-124224#RACEMETIROSINE#3,3',4'-TRIHYDROXYFLAVONE#GNF-PF-5510#7,8,2'-TRIHYDROXYFLAVONE#OXIDOPAMINE#ISOKAEMPFERIDE#ARACHIDONIC ACID#ISOTHYMONIN#AVOBENZONE#NSC-107022#PROTOPORPHYRIN#7,8,3'-TRIHYDROXYFLAVONE#DOXORUBICIN HYDROCHLORIDE#IRIGENOL#RO-410960#CYCLOTHIAZIDE#AG-537#CEPHALOCHROMIN#7-NITROINDAZOLE#AMPICILLIN#ELLAGIC ACID#NSC-91340#CHRYSOPHANOL#CATECHOL#ELLIPTECINE#KOPARIN#OXIDOPAMINE HYDROCHLORIDE#STICTIC ACID#POTASSIUM DICHROMATE#THIOLACTOMYCIN#N-PHENETHYLCINNAMAMIDE#NSC-9037#VERAPAMIL HYDROCHLORIDE#PURPUROGALLIN#9,10-PHENANTHRENEQUINONE#HISPIDIN#TCMDC-123916#TETRAIDOFLUORESCEIN#PHLORETIN#GNF-PF-5114#EPINEPHRINE#PROSTAGLANDIN B1#MMV009085#BITHIONOL#FISETIN#HARMALINE#AG-808#ZINC 03369470#NSC-228155#TYRPHOSTIN 47#METHYLENE BLUE#METHYLTHIONINIUM CHLORIDE#METHYLDOPA#MORIN#AG-490#JUGLONE#IODOPHTHALEIN#TCMDC-124356#STAUROSPORINE#MITOXANTRONE#NORADRENALINE#METHYLENE BLUE CHLORIDE HYDRATE#2',3'-DIHYDROXYFLAVONE"
ENSG00000004776,#AZX-100
ENSG00000004779,#METFORMIN HYDROCHLORIDE#NV-128#ME-344
ENSG00000004799,#CPI-613#SODIUM DICHLOROACETATE
ENSG00000004809,#fluorouracil#doxorubicinol
ENSG00000004846,#haloperidol
ENSG00000004939,#atenolol#metoprolol
ENSG00000004948,#PRAMLINTIDE#DAVALINTIDE#SALMON CALCITONIN#SALMON CALCITONIN#CM-AT#PRAMLINTIDE ACETATE#Salmon Calcitonin#CALCITONIN SALMON RECOMBINANT#Pancrecarb#Liprotamase#CALCITONIN#CALCITONIN#Calcitonin Human#CALCITONIN SALMON#Calcitonin oral#SMC021#CALCITONIN HUMAN#PRAMLINTIDE
ENSG00000005022,#CLODRONATE#BUTYRATE#TRICHOSTATIN A
ENSG00000005249,#THEOPHYLLINE
ENSG00000005339,#(-)-ROLIPRAM#DIETHYL-2-PENTADECYLMALONATE#THERAPEUTIC GLUCOCORTICOID#ALPRAZOLAM#COLCHICINE#C 82#DIETHYL-2-TETRADECYLIDENEMALONATE#DIETHYL-2-UNDECYLIDENEMALONATE#TRACAZOLATE#TRIAZOLAM#PAPAVERINE#NOCODAZOLE#DIETHYL-2-TETRADECYLMALONATE#C646#ESTAZOLAM#PRI-724#DIETHYL-2-TRIDECYLMALONATE#MIDAZOLAM#OXOGLAUCINE#PRI-724#DNDI1417457#DIETHYL-2-DODECYLIDENEMALONATE#Pyrrolo-pyrrolone derivative 6#ETAZOLATE
ENSG00000005381,#FLUTAMIDE#FENTANYL#LITHIUM#PSORALEN#OCTREOTIDE#SULFONES#DICLOFENAC#RHIL-11#PROPYLTHIOURACIL#NIMESULIDE#LIDOCAINE#DOXYCYCLINE#FLUDARABINE#TPN#AZD4831#TOLMETIN#GRANULOCYTE COLONY-STIMULATING FACTOR#THEOPHYLLINE#TRIMETHOPRIM#CI-921#TENECTEPLASE#DMSO#ANTICOAGULANT#D-ALPHA-TOCOPHEROL ACETATE#AZD-3241#VERDIPERSTAT#DIMETHYL SULFOXIDE#XANTHINE OXIDASE INHIBITOR#PYRAZINAMIDE#METHYLENE BLUE#E-101#IMMUNOMODULATING AGENT#LORATADINE
ENSG00000005421,#QUERCETIN#Tumor necrosis factor alpha (TNF-alpha) inhibitors#simvastatin
ENSG00000005469,#PROPIONYL-L-CARNITINE
ENSG00000005471,#VINBLASTINE#anthracyclines and related substances#MITOMYCIN-C#CYCLOSPORINE#imatinib#VINCRISTINE
ENSG00000005483,#duloxetine
ENSG00000005844,#OPIOID#OPIOIDS#RAPAMYCIN#ANTITHYMOCYTE GLOBULIN#EFALIZUMAB#CYCLOSPORIN A#LYMPHOKINES#ROVELIZUMAB#CASEARINONE B#CLOBETASOL PROPIONATE#CHEMOKINES#THROMBIN#ETOPOSIDE#HYDROGEN PEROXIDE#BUSULFAN#ANTITHYMOCYTE GLOBULIN#LIFITEGRAST#CASEARINONE A#CYCLOPHOSPHAMIDE#CD40L#EPO#ATG#Cytolin#CASEARINOL B#CYCLOSPORINE#RTX#EFALIZUMAB#EFALIZUMAB#MIP-1 ALPHA#CSA#GP39#FK 506#5-FU#SAR 1118.00#MMF#lifitegrast#H2O2#RECOMBINANT INTERFERON BETA-1A#STAUROSPORINE#CYTOLIN#Efalizumab#ODULIMOMAB#PMA
ENSG00000005882,#CPI-613#SODIUM DICHLOROACETATE
ENSG00000005961,#ABCIXIMAB#EPTIFIBATIDE#THROMBIN#ENOXAPARIN#TIROFIBAN#ABCIXIMAB#TIROFIBAN HYDROCHLORIDE#ZALUNFIBAN#tirofiban#RECOMBINANT TISSUE PLASMINOGEN ACTIVATOR#ABCIXIMAB#EPTIFIBATIDE#eptifibatide#ASPIRIN#ANTIANGIOGENIC#TIROFIBAN#TADOCIZUMAB#abciximab#GANTOFIBAN
ENSG00000006071,"#TOLBUTAMIDE SODIUM, STERILE#Tolbutamide#Gliclazide#NATEGLINIDE#GLIPIZIDE#Acetohexamide#NAMINIDIL#MITIGLINIDE#MITIGLINIDE CALCIUM DIHYDRATE#TOLBUTAMIDE#GLICLAZIDE#sulfonamides, urea derivatives#NATEGLINIDE#Intravenous glibenclamide#REPAGLINIDE#GLIMEPIRIDE#Glimepiride#GLIMEPIRIDE#NN-414#CHLORPROPAMIDE#REPAGLINIDE#GLYBURIDE#Glibenclamide#TOLAZAMIDE#GLIQUIDONE#DIAZOXIDE CHOLINE#BERBERINE CHLORIDE#SARAKALIM#BERBERRUBINE#GLYBURIDE#Repaglinide#ACETOHEXAMIDE#MITIGLINIDE"
ENSG00000006116,#GABAPENTIN#PHLOROGLUCINOL#TERODILINE HYDROCHLORIDE#IMAGABALIN#SULOCTIDIL#ATAGABALIN#GABAPENTIN ENACARBIL#PREGABALIN#antipsychotics#BEPRIDIL HYDROCHLORIDE
ENSG00000006128,#GP-120#ETIDRONATE#CHLORHEXIDINE#ETHER#EQUINE GONADOTROPIN#GLYCYRRHETINIC ACID#NIZATIDINE#PUROMYCIN#HUMAN CHORIONIC GONADOTROPIN#ANTIHISTAMINE#SULINDAC#HALOPERIDOL#PROTOPORPHYRIN#FAMOTIDINE#ANDROGENS#MEXILETINE#NALTREXONE#FUROSEMIDE#RESERPINE#GOSSYPOL#BUTYRATE#BACLOFEN#DIGOXIN#GINGER#-MOP 8.00#LORATADINE#IL-3#OMEPRAZOLE#WORTMANNIN
ENSG00000006210,#ATEZOLIZUMAB#COMPLETE FREUND&APOS;S ADJUVANT#QUETMOLIMAB
ENSG00000006283,#ETHOSUXIMIDE#ETHOSUXIMIDE#PHLOROGLUCINOL#TRIMETHADIONE#Trimethadione#GABAPENTIN#FLUNARIZINE#celecoxib#TERODILINE HYDROCHLORIDE#ZONISAMIDE#PARAMETHADIONE#TRIMETHADIONE#Penfluridol#SULOCTIDIL#NGD 94-1#METHSUXIMIDE#ATAGABALIN#IMAGABALIN#FLUNARIZINE#ZONISAMIDE#PD-200390#MIBEFRADIL DIHYDROCHLORIDE#ARVERAPAMIL#GABAPENTIN ENACARBIL#APINOCALTAMIDE#VERAPAMIL#Methsuximide#PHENSUXIMIDE#ETHOSUXIMIDE#Ethosuximide#SUVECALTAMIDE#TRIMETHADIONE#Paramethadione#BEPRIDIL HYDROCHLORIDE#PREGABALIN#Verapamil
ENSG00000006327,#Enavatuzumab#ENAVATUZUMAB
ENSG00000006432,#CEP-1347#CEP1347
ENSG00000006451,#VITAMIN E
ENSG00000006468,#TRAMETINIB
ENSG00000006607,#methylphenidate
ENSG00000006638,#VINBLASTINE#G-619#TAK-128#TERBOGREL#Alprostadil#LAROPIPRANT#PGF2alpha#Ifetroban sodium#BIBV 308#DT-TX-30#aspirin#FUROSEMIDE#KP-496#FK-070#Ridogrel#TERUTROBAN#SERATRODAST#MORPHINE#CYCLOSPORINE#RAMATROBAN#YM-57158#PICOTAMIDE#Ramatroban
ENSG00000007047,#HESPERADIN#TOZASERTIB#DOVITINIB#JNJ-7706621#PF-562271#TAMATINIB
ENSG00000007062,#Anti-CD133-CAR vector-transduced T cells#ICT-121#CAR-T cells targeting CD133
ENSG00000007171,#ANTIDEPRESSANTS#KD-7040#CR-3294#TILARGININE#CAPTOPRIL#doxorubicin#BENZODIAZEPINE#GW-274150#RHIL-11#ibuprofen#SD-6010#MPL-S#rifampin#OESTRADIOL#Pimagedine HCl#TILARGININE ACETATE#ECG#ISOTHIOUREA#BXT-51072#HP-228#KLH#BANOXANTRONE#VEGF#Curcumin#Aminoguanidine#GW274150#DMSO#TYROSINE KINASE INHIBITORS#KD7040#DNCB#FLUOXETINE#CONJUGATED ESTROGENS#THEOPHYLLINE#KD7040#DOXYCYCLINE#NIMODIPINE#STEROID HORMONE#LT-1951#DIAZOXIDE#PROPOFOL#TILARGININE#OPIATE
ENSG00000007264,#SP-600125#PF-562271#ILORASERTIB#IL-4#CENISERTIB#C-KIT LIGAND#CYTOKINES
ENSG00000007306,#IFN
ENSG00000007312,#MGD010#RG7596#POLATUZUMAB VEDOTIN#Polatuzumab vedotin#DCDS-4501A
ENSG00000007314,#RANOLAZINE#ETHOTOIN#PRILOCAINE HYDROCHLORIDE#EVENAMIDE#NERISPIRDINE#LEVOBUPIVACAINE HYDROCHLORIDE#MEXILETINE HYDROCHLORIDE#PROCAINE HYDROCHLORIDE#MEPHENYTOIN#TETRACAINE HYDROCHLORIDE#TETRACAINE#BENOXINATE HYDROCHLORIDE#QUINIDINE GLUCONATE#INDECAINIDE HYDROCHLORIDE#FOSPROPOFOL#QUINIDINE POLYGALACTURONATE#RUFINAMIDE#LIDOCAINE#CHLOROPROCAINE HYDROCHLORIDE#BUPIVACAINE#TOPIRAMATE#ARTICAINE HYDROCHLORIDE#TOCAINIDE HYDROCHLORIDE#RILUZOLE#IRAMPANEL#RALFINAMIDE#SAFINAMIDE#NKTR-171#PRILOCAINE#PROPOXYCAINE HYDROCHLORIDE#CENOBAMATE#PROPAFENONE HYDROCHLORIDE#ORPHENADRINE CITRATE#DRONEDARONE HYDROCHLORIDE#PHENYTOIN SODIUM#ESLICARBAZEPINE#COCAINE HYDROCHLORIDE#Lanperisone#ZONISAMIDE#PROCAINAMIDE HYDROCHLORIDE#MORICIZINE HYDROCHLORIDE#LAMOTRIGINE#DICHLOROBENZYL ALCOHOL#PROPOFOL#BUPIVACAINE HYDROCHLORIDE#MEPIVACAINE HYDROCHLORIDE#FOSPHENYTOIN SODIUM#PHENYTOIN#ZONISAMIDE#TETRODOTOXIN#OXCARBAZEPINE#HEXYLCAINE HYDROCHLORIDE#DISOPYRAMIDE PHOSPHATE#ETIDOCAINE HYDROCHLORIDE#ESLICARBAZEPINE ACETATE#ENCAINIDE HYDROCHLORIDE#PROPOFOL#CARBAMAZEPINE#ORPHENADRINE HYDROCHLORIDE#PROPARACAINE HYDROCHLORIDE#PHENAZOPYRIDINE HYDROCHLORIDE#LIDOCAINE HYDROCHLORIDE#ERLOSAMIDE#DYCLONINE HYDROCHLORIDE#PHENACEMIDE#ROPIVACAINE HYDROCHLORIDE#PRIMIDONE#QUINIDINE SULFATE#MERETHOXYLLINE PROCAINE
ENSG00000007402,#PHLOROGLUCINOL#GABAPENTIN#celecoxib#remifentanil#IMAGABALIN#ATAGABALIN#BUDIODARONE#SAFINAMIDE#SULOCTIDIL#XP13512#TERODILINE HYDROCHLORIDE#GABAPENTIN#GABAPENTIN ENACARBIL#MIROGABALIN BESYLATE#GABAPENTIN#BEPRIDIL HYDROCHLORIDE#PREGABALIN
ENSG00000007908,#fluorouracil#GMI-1070#CDP-850#capecitabine#RIVIPANSEL#UPROLESELAN#CY-1503#GMI-1070#GMI-1359#BIMOSIAMOSE#GMI-1271#leucovorin#SIALYL LEWIS X#BIMOSIAMOSE#Bimosiamose#oxaliplatin
ENSG00000007933,#tacrolimus#voriconazole#anthracyclines and related substances#rosuvastatin#olanzapine 10-n-glucuronide#daunorubicin#itopride#olanzapine#sulindac#tamoxifen
ENSG00000007944,#atorvastatin
ENSG00000007952,#SETANAXIB#TCMDC-125505#PHENOTHIAZINE
ENSG00000007968,#EDIFOLIGIDE#EDIFOLIGIDE SODIUM
ENSG00000008018,#MARIZOMIB#IXAZOMIB#OPROZOMIB#CARFILZOMIB#CARFILZOMIB#CARFILZOMIB#BORTEZOMIB#BORTEZOMIB#MLN-9708#BORTEZOMIB#MG-132#CARFILZOMIB#OPROZOMIB#BORTEZOMIB#IXAZOMIB CITRATE#BORTEZOMIB
ENSG00000008405,#lithium
ENSG00000008988,#ATALUREN#MT-3724#ELX-02#DORLIMOMAB ARITOX#CYCLOHEXIMIDE
ENSG00000009413,#fluorouracil#capecitabine
ENSG00000009724,#NARSOPLIMAB#OMS721
ENSG00000009830,#dichloroacetic acid
ENSG00000010219,#TAMATINIB#PHA-767491
ENSG00000010278,#TYROSINE KINASE INHIBITOR#LIF#IL-5#EOTAXIN#PROPIONIBACTERIUM ACNES#ANDROGENS#INTERLEUKIN-16#HERBIMYCIN A#STEROID HORMONE
ENSG00000010310,#MAR701#TIRZEPATIDE#SAR 438335.00#olanzapine
ENSG00000010322,#MOXONIDINE#RILMENIDINE
ENSG00000010404,#IDURONATE-2 SULFATASE#Recombinant human iduronate-2-sulfatase#Idursulfase
ENSG00000010438,#BORTEZOMIB#CYANOPEPTOLIN S#DERMOLASTIN#CYANOPEPTOLIN SS
ENSG00000010610,#Fluoropeptide vaccine#ANTIVIRAL#ZANOLIMUMAB#Zanolimumab#ANTITHYMOCYTE GLOBULIN#VRC-01LS#LIPO-4#BT-061#KELIXIMAB#HERBIMYCIN#ZANOLIMUMAB#IBALIZUMAB#Ibalizumab#PRILIXIMAB#CLENOLIXIMAB#Protein vaccines#BT-061#TRX-1#SEMZUVOLIMAB#ANTISENSE OLIGONUCLEOTIDES#TNX-355#TREGALIZUMAB#CEDELIZUMAB#TRX1
ENSG00000010671,"#TOLEBRUTINIB#RG-1530#DNDI1417467#BGB-3113#M7583#BIIB068#GDC-0853#ACP-319#Imidazopyridine derivative 4#Pyrrolo[2,3-d]pyrimidine derivative 15#Pyrrolo[2,3-d]pyrimidine derivative 17#Pyrrolo[2,3-d]pyrimidine derivative 20#Pyrrolo[2,3-d]pyrimidine derivative 23#Pyrrolo[2,3-d]pyrimidine derivative 25#Pyrrolo[2,3-d]pyrimidine derivative 32#RG7845#TIRABRUTINIB#DOVITINIB#ILORASERTIB#ENTRECTINIB#AZD-1152-HQPA#ZM-447439#AVL-292#Acalabrutinib#M2951#DASATINIB#IBRUTINIB#HESPERADIN#TAMATINIB#AG-1879#PF-562271#ARQ 531#ABIVERTINIB#CENISERTIB#TOZASERTIB#AS703569#PRN1008#BMS-986142#TAE-684#POSELTINIB#FENEBRUTINIB#ORELABRUTINIB#PMID27774824-Compound-Figure12Example1#Pyrazolo[4,3-c]pyridine derivative 2#Pyrrolo[2,3-d]pyrimidine derivative 12#Pyrrolo[2,3-d]pyrimidine derivative 14#Pyrrolo[2,3-d]pyrimidine derivative 18#Pyrrolo[2,3-d]pyrimidine derivative 19#Pyrrolo[2,3-d]pyrimidine derivative 26#Pyrrolo[2,3-d]pyrimidine derivative 30#Pyrrolo[2,3-d]pyrimidine derivative 31#ACP-196#CC-292#GS-4059#PD-0166285#IBRUTINIB#ibrutinib#IBRUTINIB#BMS-986142#MSC-2364447#ZANUBRUTINIB#BRANEBRUTINIB#LOU064#PCI-45292#PMID27774824-Compound-Figure12Example61#Pyrrolo[2,3-d]pyrimidine derivative 22#EVOBRUTINIB#RILZABRUTINIB#VANDETANIB#ACALABRUTINIB#DTRMWXHS 12#EDRALBRUTINIB#IBRUTINIB#Ibrutinib#VECABRUTINIB#ALISERTIB#AS703569#BTK inhibitor#ELSUBRUTINIB#BGB-3112#AC0058TA#BGB-3111#PRN2246#Ibrutinib companion diagnostic#PMID27774824-Compound-Figure12Example10#Pyrrolo[2,3-d]pyrimidine derivative 13#Pyrrolo[2,3-d]pyrimidine derivative 16#Pyrrolo[2,3-d]pyrimidine derivative 21#Pyrrolo[2,3-d]pyrimidine derivative 27#Pyrrolo[2,3-d]pyrimidine derivative 28#Pyrrolo[2,3-d]pyrimidine derivative 29#Pyrrolo[2,3-d]pyrimidine derivative 33#TAK-020#ABIVERTINIB MALEATE#SPEBRUTINIB BESYLATE#PIRTOBRUTINIB#ACALABRUTINIB MALEATE#ONO-4059#Ibrutinib#PF-06651600#Ibrutinib#IBRUTINIB#IBRUTINIB#MLN-8054#Vecabrutinib"
ENSG00000010704,#epoetin alfa#adalimumab#iron
ENSG00000010810,#ILORASERTIB#681640#ILORASERTIB#ZM-447439#KENPAULLONE#AG-1879#TCMDC-125758#TAE-684#TAMATINIB#HESPERADIN#TOZASERTIB#ENTRECTINIB#CENISERTIB#RG-1530#CYC-116#PF-562271#DOVITINIB#AZAKENPAULLONE#PD-0166285#JNJ-26483327#DASATINIB#XL-228#Dasatinib#CEDIRANIB#VEGF#BARASERTIB#OSI-632#ENMD-2076#ENMD-981693#VANDETANIB#DASATINIB#IL-2#TG100-801#AZD-1775#JNJ-26483327#PAZOPANIB#AST-487#DASATINIB
ENSG00000010932,#olanzapine#tamoxifen#nicotine
ENSG00000011021,#doxorubicin#antineoplastic agents#cisplatin#antipsychotics
ENSG00000011304,#MMV085203#SJ000154295#SJ000044511#DNDI1417941#GNF-PF-4418#ELLIPTECINE
ENSG00000011405,#BAY80-6946#XL147#SF1126#BEZ235#PWT33597#PI-103#SOPHORETIN#GDC-0980#BYL719#PF-4691502#MCP-1#BKM120#PX-866#GDC-0941#XL-765#GSK2636771#PKI-587#BGJ398
ENSG00000011422,#PHORBOL MYRISTATE ACETATE#ADENOVIRAL VECTOR#RECOMBINANT INTERFERON GAMMA#DIPHTHERIA TOXIN#Ruxolitinib#G-CSF#MCP-2#UROKINASE
ENSG00000011465,#RAPAMYCIN#ASCORBIC ACID#HSP70#IFN
ENSG00000011485,#LB-100
ENSG00000011523,#aspirin
